------------------------------------------------------------
Server listening on TCP port 22524
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.8 port 22524 connected with 10.0.0.3 port 59420
[ ID] Interval       Transfer     Bandwidth
[  1] 29.0000-30.0000 sec  5.70 MBytes  47.8 Mbits/sec
[  1] 30.0000-31.0000 sec  5.70 MBytes  47.8 Mbits/sec
[  1] 31.0000-32.0000 sec  5.70 MBytes  47.8 Mbits/sec
[  1] 32.0000-33.0000 sec  5.70 MBytes  47.8 Mbits/sec
[  1] 33.0000-34.0000 sec  5.66 MBytes  47.5 Mbits/sec
[  1] 34.0000-35.0000 sec  5.65 MBytes  47.4 Mbits/sec
[  1] 35.0000-36.0000 sec  5.65 MBytes  47.4 Mbits/sec
[  1] 36.0000-37.0000 sec  5.65 MBytes  47.4 Mbits/sec
[  1] 37.0000-38.0000 sec  5.66 MBytes  47.5 Mbits/sec
[  1] 38.0000-39.0000 sec  5.65 MBytes  47.4 Mbits/sec
[  1] 39.0000-40.0000 sec  5.65 MBytes  47.4 Mbits/sec
[  1] 40.0000-41.0000 sec  5.65 MBytes  47.4 Mbits/sec
[  1] 41.0000-42.0000 sec  5.65 MBytes  47.4 Mbits/sec
[  1] 42.0000-43.0000 sec  5.65 MBytes  47.4 Mbits/sec
[  1] 43.0000-44.0000 sec  5.65 MBytes  47.4 Mbits/sec
[  1] 44.0000-45.0000 sec  5.65 MBytes  47.4 Mbits/sec
[  1] 45.0000-46.0000 sec  5.65 MBytes  47.4 Mbits/sec
[  1] 46.0000-47.0000 sec  5.65 MBytes  47.4 Mbits/sec
[  1] 47.0000-48.0000 sec  5.65 MBytes  47.4 Mbits/sec
[  1] 48.0000-49.0000 sec  5.65 MBytes  47.4 Mbits/sec
[  1] 49.0000-50.0000 sec  5.65 MBytes  47.4 Mbits/sec
[  1] 50.0000-51.0000 sec  5.65 MBytes  47.4 Mbits/sec
[  1] 51.0000-52.0000 sec  5.65 MBytes  47.4 Mbits/sec
[  1] 52.0000-53.0000 sec  5.65 MBytes  47.4 Mbits/sec
[  1] 53.0000-54.0000 sec  5.62 MBytes  47.2 Mbits/sec
[  1] 54.0000-55.0000 sec  5.69 MBytes  47.7 Mbits/sec
[  1] 55.0000-56.0000 sec  5.65 MBytes  47.4 Mbits/sec
[  1] 56.0000-57.0000 sec  5.66 MBytes  47.4 Mbits/sec
[  1] 57.0000-58.0000 sec  5.65 MBytes  47.4 Mbits/sec
[  1] 58.0000-59.0000 sec  5.65 MBytes  47.4 Mbits/sec
[  1] 59.0000-60.0000 sec  5.65 MBytes  47.4 Mbits/sec
[  1] 60.0000-61.0000 sec  5.65 MBytes  47.4 Mbits/sec
[  1] 61.0000-62.0000 sec  5.65 MBytes  47.4 Mbits/sec
[  1] 62.0000-63.0000 sec  5.65 MBytes  47.4 Mbits/sec
[  1] 63.0000-64.0000 sec  5.65 MBytes  47.4 Mbits/sec
[  1] 64.0000-65.0000 sec  5.65 MBytes  47.4 Mbits/sec
[  1] 65.0000-66.0000 sec  5.65 MBytes  47.4 Mbits/sec
[  1] 66.0000-67.0000 sec  5.65 MBytes  47.4 Mbits/sec
[  1] 67.0000-68.0000 sec  5.65 MBytes  47.4 Mbits/sec
[  1] 68.0000-69.0000 sec  5.65 MBytes  47.4 Mbits/sec
[  1] 69.0000-70.0000 sec  5.65 MBytes  47.4 Mbits/sec
[  1] 70.0000-71.0000 sec  5.65 MBytes  47.4 Mbits/sec
[  1] 71.0000-72.0000 sec  5.65 MBytes  47.4 Mbits/sec
[  1] 72.0000-73.0000 sec  5.65 MBytes  47.4 Mbits/sec
[  1] 73.0000-74.0000 sec  5.65 MBytes  47.4 Mbits/sec
[  1] 74.0000-75.0000 sec  5.65 MBytes  47.4 Mbits/sec
[  1] 75.0000-76.0000 sec  5.65 MBytes  47.4 Mbits/sec
[  1] 76.0000-77.0000 sec  5.65 MBytes  47.4 Mbits/sec
[  1] 77.0000-78.0000 sec  5.64 MBytes  47.3 Mbits/sec
[  1] 78.0000-79.0000 sec  5.66 MBytes  47.5 Mbits/sec
[  1] 79.0000-80.0000 sec  5.68 MBytes  47.6 Mbits/sec
[  1] 80.0000-81.0000 sec  5.68 MBytes  47.7 Mbits/sec
[  1] 81.0000-82.0000 sec  5.69 MBytes  47.7 Mbits/sec
[  1] 82.0000-83.0000 sec  5.68 MBytes  47.7 Mbits/sec
[  1] 83.0000-84.0000 sec  5.70 MBytes  47.8 Mbits/sec
[  1] 84.0000-85.0000 sec  5.17 MBytes  43.4 Mbits/sec
[  1] 85.0000-86.0000 sec  5.11 MBytes  42.9 Mbits/sec
[  1] 86.0000-87.0000 sec  5.10 MBytes  42.8 Mbits/sec
[  1] 87.0000-88.0000 sec  5.10 MBytes  42.8 Mbits/sec
[  1] 88.0000-89.0000 sec  5.11 MBytes  42.8 Mbits/sec
[  1] 89.0000-90.0000 sec  5.11 MBytes  42.9 Mbits/sec
[  1] 90.0000-91.0000 sec  5.10 MBytes  42.8 Mbits/sec
[  1] 91.0000-92.0000 sec  5.12 MBytes  43.0 Mbits/sec
[  1] 92.0000-93.0000 sec  5.12 MBytes  42.9 Mbits/sec
[  1] 93.0000-94.0000 sec  5.12 MBytes  42.9 Mbits/sec
[  1] 94.0000-95.0000 sec  5.11 MBytes  42.8 Mbits/sec
[  1] 95.0000-96.0000 sec  5.11 MBytes  42.9 Mbits/sec
[  1] 96.0000-97.0000 sec  5.11 MBytes  42.9 Mbits/sec
[  1] 97.0000-98.0000 sec  5.11 MBytes  42.8 Mbits/sec
[  1] 98.0000-99.0000 sec  5.11 MBytes  42.9 Mbits/sec
[  1] 99.0000-100.0000 sec  5.11 MBytes  42.9 Mbits/sec
[  1] 100.0000-101.0000 sec  5.11 MBytes  42.9 Mbits/sec
[  1] 101.0000-102.0000 sec  5.11 MBytes  42.8 Mbits/sec
[  1] 102.0000-103.0000 sec  5.10 MBytes  42.8 Mbits/sec
[  1] 103.0000-104.0000 sec  5.11 MBytes  42.9 Mbits/sec
[  1] 104.0000-105.0000 sec  5.12 MBytes  42.9 Mbits/sec
[  1] 105.0000-106.0000 sec  5.09 MBytes  42.7 Mbits/sec
[  1] 106.0000-107.0000 sec  5.10 MBytes  42.8 Mbits/sec
[  1] 107.0000-108.0000 sec  4.93 MBytes  41.3 Mbits/sec
[  1] 108.0000-109.0000 sec  4.71 MBytes  39.5 Mbits/sec
[  1] 109.0000-110.0000 sec  4.32 MBytes  36.2 Mbits/sec
[  1] 110.0000-111.0000 sec  4.94 MBytes  41.4 Mbits/sec
[  1] 111.0000-112.0000 sec  4.78 MBytes  40.1 Mbits/sec
[  1] 112.0000-113.0000 sec  4.95 MBytes  41.6 Mbits/sec
[  1] 113.0000-114.0000 sec  4.27 MBytes  35.8 Mbits/sec
[  1] 114.0000-115.0000 sec  4.70 MBytes  39.4 Mbits/sec
[  1] 115.0000-116.0000 sec  5.04 MBytes  42.3 Mbits/sec
[  1] 116.0000-117.0000 sec  4.70 MBytes  39.4 Mbits/sec
[  1] 117.0000-118.0000 sec  4.96 MBytes  41.6 Mbits/sec
[  1] 118.0000-119.0000 sec  4.84 MBytes  40.6 Mbits/sec
[  1] 119.0000-120.0000 sec  4.08 MBytes  34.2 Mbits/sec
[  1] 120.0000-121.0000 sec  4.60 MBytes  38.6 Mbits/sec
[  1] 121.0000-122.0000 sec  4.51 MBytes  37.8 Mbits/sec
[  1] 122.0000-123.0000 sec  5.13 MBytes  43.0 Mbits/sec
[  1] 123.0000-124.0000 sec  4.64 MBytes  38.9 Mbits/sec
[  1] 124.0000-125.0000 sec  5.00 MBytes  42.0 Mbits/sec
[  1] 125.0000-126.0000 sec  5.09 MBytes  42.7 Mbits/sec
[  1] 126.0000-127.0000 sec  4.86 MBytes  40.8 Mbits/sec
[  1] 127.0000-128.0000 sec  4.53 MBytes  38.0 Mbits/sec
[  1] 128.0000-129.0000 sec  4.41 MBytes  37.0 Mbits/sec
[  1] 129.0000-130.0000 sec  4.74 MBytes  39.8 Mbits/sec
[  1] 130.0000-131.0000 sec  4.44 MBytes  37.3 Mbits/sec
[  1] 131.0000-132.0000 sec  4.98 MBytes  41.7 Mbits/sec
[  1] 132.0000-133.0000 sec  4.47 MBytes  37.5 Mbits/sec
[  1] 133.0000-134.0000 sec  4.49 MBytes  37.6 Mbits/sec
[  1] 134.0000-135.0000 sec  4.83 MBytes  40.5 Mbits/sec
[  1] 135.0000-136.0000 sec  5.11 MBytes  42.8 Mbits/sec
[  1] 136.0000-137.0000 sec  4.79 MBytes  40.2 Mbits/sec
[  1] 137.0000-138.0000 sec  4.88 MBytes  40.9 Mbits/sec
[  1] 138.0000-139.0000 sec  5.08 MBytes  42.6 Mbits/sec
[  1] 139.0000-140.0000 sec  5.11 MBytes  42.9 Mbits/sec
[  1] 140.0000-141.0000 sec  4.83 MBytes  40.5 Mbits/sec
[  1] 141.0000-142.0000 sec  4.25 MBytes  35.7 Mbits/sec
[  1] 142.0000-143.0000 sec  4.49 MBytes  37.6 Mbits/sec
[  1] 143.0000-144.0000 sec  4.88 MBytes  40.9 Mbits/sec
[  1] 144.0000-145.0000 sec  4.92 MBytes  41.3 Mbits/sec
[  1] 145.0000-146.0000 sec  5.12 MBytes  42.9 Mbits/sec
[  1] 146.0000-147.0000 sec  4.93 MBytes  41.4 Mbits/sec
[  1] 147.0000-148.0000 sec  4.34 MBytes  36.4 Mbits/sec
[  1] 148.0000-149.0000 sec  4.66 MBytes  39.1 Mbits/sec
[  1] 149.0000-150.0000 sec  4.66 MBytes  39.1 Mbits/sec
[  1] 150.0000-151.0000 sec  4.39 MBytes  36.8 Mbits/sec
[  1] 151.0000-152.0000 sec  4.90 MBytes  41.1 Mbits/sec
[  1] 152.0000-153.0000 sec  4.55 MBytes  38.1 Mbits/sec
[  1] 153.0000-154.0000 sec  4.73 MBytes  39.7 Mbits/sec
[  1] 154.0000-155.0000 sec  4.53 MBytes  38.0 Mbits/sec
[  1] 155.0000-156.0000 sec  4.40 MBytes  36.9 Mbits/sec
[  1] 156.0000-157.0000 sec  5.10 MBytes  42.8 Mbits/sec
[  1] 157.0000-158.0000 sec  5.10 MBytes  42.7 Mbits/sec
[  1] 158.0000-159.0000 sec  5.02 MBytes  42.1 Mbits/sec
[  1] 159.0000-160.0000 sec  5.06 MBytes  42.5 Mbits/sec
[  1] 160.0000-161.0000 sec  5.01 MBytes  42.0 Mbits/sec
[  1] 161.0000-162.0000 sec  4.68 MBytes  39.3 Mbits/sec
[  1] 162.0000-163.0000 sec  4.66 MBytes  39.0 Mbits/sec
[  1] 163.0000-164.0000 sec  4.38 MBytes  36.7 Mbits/sec
[  1] 164.0000-165.0000 sec  4.28 MBytes  35.9 Mbits/sec
[  1] 165.0000-166.0000 sec  4.43 MBytes  37.1 Mbits/sec
[  1] 166.0000-167.0000 sec  4.91 MBytes  41.2 Mbits/sec
[  1] 167.0000-168.0000 sec  4.40 MBytes  36.9 Mbits/sec
[  1] 168.0000-169.0000 sec  4.67 MBytes  39.2 Mbits/sec
[  1] 169.0000-170.0000 sec  4.96 MBytes  41.6 Mbits/sec
[  1] 170.0000-171.0000 sec  4.13 MBytes  34.7 Mbits/sec
[  1] 171.0000-172.0000 sec  4.37 MBytes  36.6 Mbits/sec
[  1] 172.0000-173.0000 sec  4.29 MBytes  36.0 Mbits/sec
[  1] 173.0000-174.0000 sec  4.93 MBytes  41.3 Mbits/sec
[  1] 174.0000-175.0000 sec  4.59 MBytes  38.5 Mbits/sec
[  1] 175.0000-176.0000 sec  4.68 MBytes  39.2 Mbits/sec
[  1] 176.0000-177.0000 sec  4.61 MBytes  38.7 Mbits/sec
[  1] 177.0000-178.0000 sec  4.57 MBytes  38.4 Mbits/sec
[  1] 178.0000-179.0000 sec  4.39 MBytes  36.8 Mbits/sec
[  1] 179.0000-180.0000 sec  4.34 MBytes  36.4 Mbits/sec
[  1] 180.0000-181.0000 sec  4.74 MBytes  39.8 Mbits/sec
[  1] 181.0000-182.0000 sec  4.66 MBytes  39.1 Mbits/sec
[  1] 182.0000-183.0000 sec  4.36 MBytes  36.6 Mbits/sec
[  1] 183.0000-184.0000 sec  4.63 MBytes  38.9 Mbits/sec
[  1] 184.0000-185.0000 sec  4.92 MBytes  41.3 Mbits/sec
[  1] 185.0000-186.0000 sec  4.40 MBytes  36.9 Mbits/sec
[  1] 186.0000-187.0000 sec  4.26 MBytes  35.7 Mbits/sec
[  1] 187.0000-188.0000 sec  4.73 MBytes  39.7 Mbits/sec
[  1] 188.0000-189.0000 sec  4.96 MBytes  41.6 Mbits/sec
[  1] 189.0000-190.0000 sec  4.25 MBytes  35.7 Mbits/sec
[  1] 190.0000-191.0000 sec  4.55 MBytes  38.2 Mbits/sec
[  1] 191.0000-192.0000 sec  4.60 MBytes  38.6 Mbits/sec
[  1] 192.0000-193.0000 sec  4.76 MBytes  40.0 Mbits/sec
[  1] 193.0000-194.0000 sec  4.34 MBytes  36.4 Mbits/sec
[  1] 194.0000-195.0000 sec  4.63 MBytes  38.8 Mbits/sec
[  1] 195.0000-196.0000 sec  4.89 MBytes  41.0 Mbits/sec
[  1] 196.0000-197.0000 sec  4.67 MBytes  39.2 Mbits/sec
[  1] 197.0000-198.0000 sec  4.47 MBytes  37.5 Mbits/sec
[  1] 198.0000-199.0000 sec  4.47 MBytes  37.5 Mbits/sec
[  1] 199.0000-200.0000 sec  4.82 MBytes  40.4 Mbits/sec
[  1] 200.0000-201.0000 sec  4.72 MBytes  39.6 Mbits/sec
[  1] 201.0000-202.0000 sec  4.89 MBytes  41.0 Mbits/sec
[  1] 202.0000-203.0000 sec  4.75 MBytes  39.8 Mbits/sec
[  1] 203.0000-204.0000 sec  4.95 MBytes  41.6 Mbits/sec
[  1] 204.0000-205.0000 sec  4.71 MBytes  39.5 Mbits/sec
[  1] 205.0000-206.0000 sec  4.08 MBytes  34.3 Mbits/sec
[  1] 206.0000-207.0000 sec  4.82 MBytes  40.5 Mbits/sec
[  1] 207.0000-208.0000 sec  5.06 MBytes  42.4 Mbits/sec
[  1] 208.0000-209.0000 sec  5.12 MBytes  42.9 Mbits/sec
[  1] 209.0000-210.0000 sec  4.93 MBytes  41.4 Mbits/sec
[  1] 210.0000-211.0000 sec  5.08 MBytes  42.7 Mbits/sec
[  1] 211.0000-212.0000 sec  5.13 MBytes  43.1 Mbits/sec
[  1] 212.0000-213.0000 sec  5.11 MBytes  42.9 Mbits/sec
[  1] 213.0000-214.0000 sec  4.52 MBytes  37.9 Mbits/sec
[  1] 214.0000-215.0000 sec  5.02 MBytes  42.1 Mbits/sec
[  1] 215.0000-216.0000 sec  4.65 MBytes  39.0 Mbits/sec
[  1] 216.0000-217.0000 sec  4.45 MBytes  37.4 Mbits/sec
[  1] 217.0000-218.0000 sec  5.09 MBytes  42.7 Mbits/sec
[  1] 218.0000-219.0000 sec  4.74 MBytes  39.8 Mbits/sec
[  1] 219.0000-220.0000 sec  5.39 MBytes  45.2 Mbits/sec
[  1] 220.0000-221.0000 sec  4.76 MBytes  39.9 Mbits/sec
[  1] 221.0000-222.0000 sec  5.17 MBytes  43.3 Mbits/sec
[  1] 222.0000-223.0000 sec  4.93 MBytes  41.4 Mbits/sec
[  1] 223.0000-224.0000 sec  4.97 MBytes  41.7 Mbits/sec
[  1] 224.0000-225.0000 sec  4.58 MBytes  38.5 Mbits/sec
[  1] 225.0000-226.0000 sec  5.42 MBytes  45.5 Mbits/sec
[  1] 226.0000-227.0000 sec  4.74 MBytes  39.8 Mbits/sec
[  1] 227.0000-228.0000 sec  5.22 MBytes  43.8 Mbits/sec
[  1] 228.0000-229.0000 sec  5.31 MBytes  44.5 Mbits/sec
[  1] 229.0000-230.0000 sec  5.09 MBytes  42.7 Mbits/sec
[  1] 230.0000-231.0000 sec  5.35 MBytes  44.9 Mbits/sec
[  1] 231.0000-232.0000 sec  5.31 MBytes  44.6 Mbits/sec
[  1] 232.0000-233.0000 sec  5.01 MBytes  42.0 Mbits/sec
[  1] 233.0000-234.0000 sec  4.09 MBytes  34.3 Mbits/sec
[  1] 234.0000-235.0000 sec  3.66 MBytes  30.7 Mbits/sec
[  1] 235.0000-236.0000 sec  3.97 MBytes  33.3 Mbits/sec
[  1] 236.0000-237.0000 sec  3.82 MBytes  32.1 Mbits/sec
[  1] 237.0000-238.0000 sec  3.82 MBytes  32.1 Mbits/sec
[  1] 238.0000-239.0000 sec  3.74 MBytes  31.4 Mbits/sec
[  1] 0.0000-239.0712 sec  1.19 GBytes  42.7 Mbits/sec
